,name,city,country,region,iso,iata,icao,lat,lon
2940,Donetsk International Airport,Donetsk,Ukraine,Europe & Central Asia,UKR,DOK,UKCC,48.07360076904297,37.73970031738281
2941,Dnipropetrovsk International Airport,Dnepropetrovsk,Ukraine,Europe & Central Asia,UKR,DNK,UKDD,48.357200622558594,35.10060119628906
2942,Simferopol International Airport,Simferopol,Ukraine,Europe & Central Asia,UKR,SIP,UKFF,45.05220031738281,33.975101470947266
2944,Kiev Zhuliany International Airport,Kiev,Ukraine,Europe & Central Asia,UKR,IEV,UKKK,50.40194,30.45194
2945,Lviv International Airport,Lvov,Ukraine,Europe & Central Asia,UKR,LWO,UKLL,49.8125,23.956100463867188
2947,Odessa International Airport,Odessa,Ukraine,Europe & Central Asia,UKR,ODS,UKOO,46.42679977416992,30.67650032043457
2948,Pulkovo Airport,St. Petersburg,Russia,Europe & Central Asia,RUS,LED,ULLI,59.80030059814453,30.262500762939453
2949,Murmansk Airport,Murmansk,Russia,Europe & Central Asia,RUS,MMK,ULMM,68.78170013427734,32.75080108642578
2952,Khrabrovo Airport,Kaliningrad,Russia,Europe & Central Asia,RUS,KGD,UMKK,54.88999938964844,20.592599868774414
2954,Minsk National Airport,Minsk 2,Belarus,Europe & Central Asia,BLR,MSQ,UMMS,53.882499694824,28.030700683594
2955,Abakan Airport,Abakan,Russia,Europe & Central Asia,RUS,ABA,UNAA,53.7400016784668,91.38500213623047
2956,Barnaul Airport,Barnaul,Russia,Europe & Central Asia,RUS,BAX,UNBB,53.363800048828125,83.53849792480469
2957,Kemerovo Airport,Kemorovo,Russia,Europe & Central Asia,RUS,KEJ,UNEE,55.27009963989258,86.1072006225586
2958,Omsk Central Airport,Omsk,Russia,Europe & Central Asia,RUS,OMS,UNOO,54.96699905395508,73.31050109863281
2960,Krasnodar Pashkovsky International Airport,Krasnodar,Russia,Europe & Central Asia,RUS,KRR,URKK,45.034698486328,39.170501708984
2961,Uytash Airport,Makhachkala,Russia,Europe & Central Asia,RUS,MCX,URML,42.81679916381836,47.65230178833008
2962,Mineralnyye Vody Airport,Mineralnye Vody,Russia,Europe & Central Asia,RUS,MRV,URMM,44.225101470947266,43.08190155029297
2963,Stavropol Shpakovskoye Airport,Stavropol,Russia,Europe & Central Asia,RUS,STW,URMT,45.10919952392578,42.11280059814453
2964,Platov International Airport,Rostov,Russia,Europe & Central Asia,RUS,ROV,URRP,47.493888,39.924722
2965,Sochi International Airport,Sochi,Russia,Europe & Central Asia,RUS,AER,URSS,43.449902,39.9566
2966,Astrakhan Airport,Astrakhan,Russia,Europe & Central Asia,RUS,ASF,URWA,46.2832984924,48.0063018799
2967,Volgograd International Airport,Volgograd,Russia,Europe & Central Asia,RUS,VOG,URWW,48.782501220703125,44.34550094604492
2968,Chelyabinsk Balandino Airport,Chelyabinsk,Russia,Europe & Central Asia,RUS,CEK,USCC,55.305801,61.5033
2969,Magnitogorsk International Airport,Magnetiogorsk,Russia,Europe & Central Asia,RUS,MQF,USCM,53.39310073852539,58.755699157714844
2972,Nizhnevartovsk Airport,Nizhnevartovsk,Russia,Europe & Central Asia,RUS,NJC,USNN,60.94929885864258,76.48359680175781
2973,Bolshoye Savino Airport,Perm,Russia,Europe & Central Asia,RUS,PEE,USPP,57.914501190186,56.021198272705
2974,Surgut Airport,Surgut,Russia,Europe & Central Asia,RUS,SGC,USRR,61.34370040893555,73.40180206298828
